,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
2270,4,239,89,0,2.0,2.0,2.0,28,Private room,condominium,shared,1,1,3,1,1,0,0,Central & Western
2271,4,3,83,0,1.0,4.0,1.0,100,Shared room,apartment,shared,1,1,3,1,0,0,1,Yau Tsim Mong
2272,4,14,180,4,2.0,4.0,2.0,22,Private room,apartment,shared,0,0,2,1,1,0,0,Eastern
2273,4,4,77,0,1.0,3.0,2.0,1,Private room,hotel,shared,0,1,2,1,0,0,1,Central & Western
2274,4,29,90,0,1.0,2.0,2.0,1,Private room,serviced apartment,shared,0,1,0,1,1,0,1,Yau Tsim Mong
2275,4,4,44,125,2.0,2.0,2.0,2,Private room,apartment,shared,0,1,8,1,1,0,1,Sham Shui Po
2276,4,5,90,0,1.0,4.0,1.0,2,Shared room,house,shared,0,1,4,1,0,0,0,Wan Chai
2277,4,8,179,10,2.0,2.0,2.0,3,Private room,condominium,shared,0,1,4,1,1,0,0,Yau Tsim Mong
2278,4,4,72,135,2.0,4.0,2.0,4,Private room,apartment,shared,1,0,8,1,0,0,0,Islands
2279,4,1544,269,0,7.0,4.0,4.0,116,Shared room,apartment,shared,1,0,28,1,0,1,0,Yau Tsim Mong
2280,4,772,180,0,2.0,2.0,2.0,58,Private room,apartment,shared,1,0,14,1,0,1,1,Wan Chai
2281,4,1107,267,0,4.0,3.0,3.0,87,Shared room,apartment,shared,1,0,12,1,0,0,0,Wan Chai
2282,4,1476,356,0,7.0,7.0,4.0,116,Shared room,apartment,shared,1,0,16,1,0,0,0,Yau Tsim Mong
2283,4,225,89,0,1.0,2.0,2.0,29,Private room,apartment,shared,1,1,3,1,1,0,0,Central & Western
2284,4,6,0,17,1.0,4.0,1.0,1,Private room,apartment,shared,1,1,3,1,1,0,1,Yau Tsim Mong
2285,4,8,90,0,2.0,4.0,2.0,10,Shared room,guesthouse,shared,1,1,2,1,0,0,0,Tuen Mun
2286,4,6,179,13,2.0,2.0,2.0,56,Private room,apartment,shared,1,1,8,1,1,0,0,Kwun Tong
2287,5,14,180,0,2.0,5.0,1.0,2,Private room,apartment,private,0,0,4,1,0,0,1,Yau Tsim Mong
2288,5,7,0,0,1.0,5.0,1.0,2,Private room,apartment,private,0,0,4,1,0,1,0,Yau Tsim Mong
2289,5,9,270,2,3.0,3.0,3.0,168,Private room,apartment,private,0,0,9,1,0,0,1,Eastern
2290,5,1,49,23,1.0,0.0,1.0,1,Private room,apartment,private,0,0,4,1,0,0,1,Southern
2291,5,18,180,10,3.0,3.0,3.0,3,Private room,apartment,private,0,0,12,1,0,0,0,Wan Chai
2292,5,5,90,0,1.0,3.0,1.0,1,Private room,boutique hotel,private,0,0,5,1,1,0,1,Yau Tsim Mong
2293,5,12,83,1,3.0,4.0,1.0,26,Private room,apartment,private,0,0,14,1,1,0,0,Central & Western
2294,5,36,180,15,2.0,5.0,2.0,2,Private room,apartment,private,0,1,4,1,1,0,1,Yau Tsim Mong
2295,5,54,180,0,2.0,0.0,2.0,2,Private room,apartment,private,1,0,12,1,1,0,1,Kwun Tong
2296,5,920,268,0,4.0,4.0,1.0,118,Private room,apartment,private,1,0,16,1,1,1,0,Central & Western
2297,5,90,228,681,3.0,3.0,3.0,6,Private room,hostel,private,1,0,15,1,1,1,0,Yau Tsim Mong
2299,5,12,152,7,2.0,4.0,2.0,2,Private room,hostel,private,1,1,6,1,1,0,0,Islands
2300,5,9,90,18,1.0,3.0,1.0,1,Private room,house,private,1,1,7,1,1,0,0,Yau Tsim Mong
2301,5,4,71,47,2.0,3.0,2.0,2,Private room,hotel,private,1,1,6,1,1,0,0,Yau Tsim Mong
2303,5,34,180,139,2.0,3.0,2.0,2,Private room,apartment,private,1,0,12,1,0,0,0,Yau Tsim Mong
2304,5,54,0,276,3.0,3.0,3.0,3,Private room,apartment,private,1,1,18,1,1,0,1,Yau Tsim Mong
2305,5,6,82,43,1.0,5.0,1.0,1,Private room,apartment,private,1,1,3,1,1,0,1,Yau Tsim Mong
2306,5,20,89,0,3.0,4.0,2.0,2,Private room,boutique hotel,regular,0,0,2,1,1,0,1,Yau Tsim Mong
2307,5,34,0,1,2.0,3.0,3.0,1,Entire home/apt,Entire serviced apartment,regular,0,0,5,1,0,0,0,Kowloon City
2308,5,1,89,0,1.0,2.0,2.0,1,Entire home/apt,Entire condominium,regular,0,0,0,1,0,0,1,Yau Tsim Mong
2309,5,2,89,0,1.0,2.0,1.0,5,Private room,guesthouse,regular,0,0,1,1,0,0,0,Yau Tsim Mong
2310,5,4,180,0,2.0,4.0,2.0,2,Private room,aparthotel,regular,0,0,4,1,0,0,1,Yau Tsim Mong
2311,5,7,90,7,1.0,1.0,1.0,1,Private room,bed and breakfast,regular,0,0,4,1,1,0,1,Yau Tsim Mong
2312,5,8,180,0,3.0,1.0,2.0,2,Private room,serviced apartment,regular,0,0,2,1,1,0,0,Wan Chai
2313,5,14,89,3,1.5,1.0,1.0,10,Private room,hut,regular,0,0,2,1,1,0,0,Yau Tsim Mong
2314,5,2,88,2,2.0,2.0,3.0,1,Entire home/apt,Entire house,regular,0,0,6,1,1,0,0,Tsuen Wan
2315,5,0,90,0,4.0,3.0,3.0,3,Entire home/apt,Entire apartment,regular,0,0,0,1,0,0,1,Kowloon City
2316,5,0,80,0,1.0,3.0,3.0,1,Entire home/apt,Entire apartment,regular,0,0,6,1,0,0,1,Islands
2317,5,1,0,51,1.0,2.0,1.0,7,Entire home/apt,Entire apartment,regular,0,0,4,1,1,0,0,Central & Western
2318,5,34,84,27,2.0,3.0,3.0,1,Entire home/apt,Entire apartment,regular,0,0,5,1,0,0,0,Kowloon City
2319,5,9,90,9,2.0,3.0,2.0,1,Entire home/apt,Entire apartment,regular,0,0,7,0,1,0,0,Yau Tsim Mong
2320,5,2,171,1,2.0,2.0,2.0,5,Entire home/apt,Entire apartment,regular,0,0,7,1,0,0,0,Central & Western
2321,5,3,90,0,1.0,4.0,2.0,1,Entire home/apt,Cave,regular,0,0,5,1,0,0,0,Yau Tsim Mong
2323,5,1,83,0,1.0,4.0,2.0,365,Entire home/apt,Entire condominium,regular,0,0,5,1,1,0,0,Kwun Tong
2324,5,7,90,13,1.0,2.0,1.0,1,Private room,apartment,regular,0,0,5,1,1,0,0,Yau Tsim Mong
2325,5,2,83,0,1.5,3.0,3.0,30,Entire home/apt,Entire condominium,regular,0,0,3,1,1,0,0,Kowloon City
2326,5,6,89,0,1.0,3.0,3.0,28,Entire home/apt,Entire apartment,regular,0,0,4,1,1,0,0,Eastern
2327,5,6,0,0,1.0,3.0,3.0,30,Entire home/apt,Entire condominium,regular,0,0,4,1,1,0,0,Eastern
2328,5,6,89,1,1.0,3.0,3.0,30,Entire home/apt,Entire apartment,regular,0,0,4,1,1,0,1,Eastern
2329,5,1,89,1,1.0,1.0,2.0,5,Entire home/apt,Entire apartment,regular,0,0,2,1,1,0,1,Wan Chai
2330,5,3,171,4,4.0,5.0,3.0,10,Entire home/apt,Entire apartment,regular,0,1,18,1,1,0,0,Central & Western
2331,5,2,83,119,1.0,3.0,2.0,1,Entire home/apt,Entire apartment,regular,0,1,3,1,0,0,1,Yau Tsim Mong
2333,5,1,88,27,2.0,3.0,3.0,16,Entire home/apt,Entire apartment,regular,0,1,12,1,1,0,0,Central & Western
2334,5,0,270,0,3.0,5.0,5.0,90,Entire home/apt,Entire house,regular,0,1,6,1,1,0,1,North
2335,5,13,80,11,2.0,3.0,2.0,1,Private room,guest suite,regular,0,1,4,1,1,0,1,Yau Tsim Mong
2336,5,2,30,68,1.0,3.0,3.0,2,Entire home/apt,Entire apartment,regular,0,1,4,1,1,1,1,Yau Tsim Mong
2337,5,2,89,5,1.0,2.0,2.0,30,Entire home/apt,Entire condominium,regular,0,1,6,1,1,0,0,Kowloon City
2340,5,4,95,3,2.5,2.0,2.0,6,Entire home/apt,Entire apartment,regular,1,0,18,1,1,0,0,Central & Western
2341,5,1,0,0,1.0,2.0,2.0,1,Entire home/apt,Entire bungalow,regular,1,0,4,1,1,0,1,Yuen Long
2342,5,4,130,59,2.0,3.0,1.0,10,Entire home/apt,Entire apartment,regular,1,0,20,1,1,0,0,Central & Western
2343,5,4,60,0,1.0,2.0,2.0,10,Entire home/apt,Entire apartment,regular,1,0,5,1,0,0,1,Wan Chai
2344,5,6,180,2,2.0,3.0,1.0,2,Hotel room,hostel,regular,1,0,6,1,0,0,1,Yau Tsim Mong
2345,5,0,89,11,2.0,3.0,3.0,7,Entire home/apt,Entire serviced apartment,regular,1,0,4,1,1,0,0,Islands
2346,5,1064,270,2,3.0,4.0,4.0,118,Private room,apartment,regular,1,0,32,1,0,1,0,Sham Shui Po
2347,5,1158,268,0,4.0,3.0,2.0,87,Private room,apartment,regular,1,0,21,1,0,1,0,Eastern
2349,5,2,90,11,1.5,3.0,3.0,1,Entire home/apt,Entire condominium,regular,1,0,3,1,1,0,0,Yau Tsim Mong
2350,5,690,268,0,3.0,3.0,2.0,87,Private room,apartment,regular,1,0,12,1,1,1,0,Sham Shui Po
2351,5,7,90,0,1.5,5.0,1.0,2,Private room,apartment,regular,1,0,9,1,1,1,0,Yau Tsim Mong
2352,5,2,88,26,1.0,3.0,1.0,21,Entire home/apt,Entire guest suite,regular,1,0,5,1,0,1,0,Wan Chai
2355,5,270,245,14,4.0,8.0,4.0,85,Hotel room,bed and breakfast,regular,1,0,25,1,0,0,0,Yau Tsim Mong
2357,5,26,9,6,3.0,3.0,2.0,4,Private room,apartment,regular,1,0,10,1,1,0,0,Yau Tsim Mong
2358,5,1,1,1,1.0,3.0,2.0,3,Entire home/apt,Entire apartment,regular,1,0,9,1,0,0,0,Wan Chai
2359,5,1,90,1,1.0,2.0,2.0,1,Entire home/apt,Entire apartment,regular,1,0,6,1,0,0,1,North
2360,5,8,180,66,2.0,3.0,2.0,2,Private room,apartment,regular,1,0,10,1,0,0,0,Wan Chai
2361,5,32,180,67,2.0,3.0,2.0,2,Private room,apartment,regular,1,0,8,1,0,0,1,Yau Tsim Mong
2362,5,3,90,3,2.0,3.0,2.0,31,Private room,apartment,regular,1,0,14,1,0,0,1,Yau Tsim Mong
2363,5,3,90,13,3.0,3.0,3.0,5,Private room,apartment,regular,1,0,16,1,1,0,0,Central & Western
2364,5,16,90,0,1.0,3.0,2.0,1,Entire home/apt,Entire apartment,regular,1,0,8,1,1,0,0,Yau Tsim Mong
2365,5,4,132,0,2.5,4.0,3.0,37,Entire home/apt,Entire apartment,regular,1,0,9,1,1,0,0,Eastern
2366,5,18,99,8,2.0,5.0,2.0,2,Private room,apartment,regular,1,0,12,1,1,0,1,Yau Tsim Mong
2367,5,12,128,0,2.5,3.0,2.0,2,Private room,bed and breakfast,regular,1,1,2,1,1,0,1,Yau Tsim Mong
2368,5,18,180,42,2.0,3.0,2.0,2,Private room,apartment,regular,1,1,10,1,1,0,1,Yau Tsim Mong
2369,5,1,89,5,1.0,2.0,2.0,3,Entire home/apt,Entire apartment,regular,1,1,3,1,1,0,0,Kowloon City
2370,5,1,4,0,2.0,3.0,2.0,1,Entire home/apt,Entire apartment,regular,1,1,3,1,1,0,0,Yau Tsim Mong
2371,5,5,167,17,2.5,3.0,2.0,6,Entire home/apt,Entire apartment,regular,1,1,11,1,1,0,1,Central & Western
2372,5,7,89,43,1.0,3.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,5,1,1,0,1,Yau Tsim Mong
2373,5,1,0,1,1.0,3.0,3.0,1,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,0,Yuen Long
2374,5,0,83,12,1.0,4.0,3.0,2,Entire home/apt,Entire apartment,regular,1,1,6,1,1,1,1,Islands
2375,5,0,10,0,1.0,2.0,2.0,3,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,0,Central & Western
2376,5,1,87,3,2.5,5.0,3.0,3,Private room,apartment,regular,1,1,5,1,1,0,0,Islands
2377,5,0,0,3,1.0,3.0,2.0,3,Entire home/apt,Entire apartment,regular,1,1,6,1,0,0,1,Islands
2378,5,19,16,0,2.0,3.0,3.0,1,Entire home/apt,Entire apartment,regular,1,1,1,1,1,1,1,North
2379,5,2,82,12,2.5,3.0,3.0,12,Entire home/apt,Entire apartment,regular,1,1,10,1,0,0,0,Wan Chai
2380,5,10,180,3,2.0,3.0,2.0,2,Hotel room,hostel,regular,1,1,16,1,0,0,1,Yau Tsim Mong
2381,5,3,90,8,1.0,5.0,1.0,2,Entire home/apt,Tent,regular,1,1,2,1,1,0,1,Yau Tsim Mong
2382,5,10,88,3,1.0,3.0,3.0,28,Entire home/apt,Entire condominium,regular,0,0,5,1,0,0,0,Islands
2384,5,28,0,65,2.0,4.0,2.0,2,Private room,apartment,regular,0,0,4,1,0,1,1,Yau Tsim Mong
2386,5,18,21,459,2.0,3.0,2.0,2,Entire home/apt,Entire apartment,regular,0,0,10,1,0,0,0,Yau Tsim Mong
2387,5,243,216,2,3.0,3.0,1.0,30,Private room,apartment,regular,0,0,18,1,1,0,0,Yau Tsim Mong
2388,5,3,90,2,1.5,2.0,2.0,2,Private room,apartment,regular,0,0,4,1,0,0,0,Central & Western
2389,5,11,69,9,2.0,2.0,2.0,1,Private room,house,regular,0,1,2,1,1,0,1,Yau Tsim Mong
2390,5,1,0,80,1.0,3.0,1.0,1,Entire home/apt,Entire apartment,regular,0,1,3,1,1,0,0,Central & Western
2391,5,1,59,73,1.0,3.0,2.0,3,Entire home/apt,Entire apartment,regular,0,1,4,1,1,1,0,Sha Tin
2392,5,9,90,7,2.0,3.0,2.0,1,Entire home/apt,Entire apartment,regular,0,1,7,0,1,0,0,Yau Tsim Mong
2393,5,6,0,0,2.0,3.0,2.0,2,Hotel room,boutique hotel,regular,0,1,6,1,0,0,1,Kowloon City
2394,5,132,270,91,3.0,4.0,3.0,3,Private room,guesthouse,regular,1,0,18,1,0,0,0,Yau Tsim Mong
2395,5,74,170,47,4.0,3.0,3.0,86,Private room,apartment,regular,1,0,12,1,1,0,0,Yau Tsim Mong
2396,5,23,89,5,1.0,3.0,2.0,30,Entire home/apt,Entire apartment,regular,1,0,7,1,1,1,0,Sai Kung
2397,5,1,90,15,1.0,4.0,3.0,7,Entire home/apt,Entire apartment,regular,1,0,2,1,1,0,1,Sai Kung
2399,5,11,89,0,1.0,3.0,2.0,30,Entire home/apt,Entire apartment,regular,1,0,7,1,1,0,0,Yau Tsim Mong
2401,5,14,0,61,1.0,3.0,2.0,28,Entire home/apt,Entire apartment,regular,1,0,2,1,1,0,1,Yau Tsim Mong
2402,5,4,179,75,2.0,3.0,2.0,4,Private room,apartment,regular,1,0,16,1,0,0,0,Sham Shui Po
2403,5,1,179,30,2.5,3.0,2.0,2,Entire home/apt,Entire apartment,regular,1,0,13,1,1,0,0,Central & Western
2404,5,3,0,298,1.0,2.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,8,1,1,0,1,Yau Tsim Mong
2405,5,3,0,221,1.0,3.0,1.0,1,Entire home/apt,Entire guest suite,regular,1,0,8,1,1,0,1,Yau Tsim Mong
2406,5,1,90,4,2.0,2.0,2.0,3,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,1,Wan Chai
2407,5,1,32,65,2.0,3.0,3.0,28,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Yau Tsim Mong
2408,5,30,90,34,1.0,3.0,1.0,1,Hotel room,hostel,regular,1,1,3,1,1,0,1,Yau Tsim Mong
2409,5,2,54,173,1.0,2.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,7,1,1,1,0,Southern
2410,5,6,70,304,2.0,3.0,2.0,4,Entire home/apt,Entire apartment,regular,1,1,12,1,1,1,1,Islands
2411,5,0,50,7,1.0,4.0,3.0,2,Entire home/apt,Entire apartment,regular,1,1,6,1,1,1,1,Islands
2412,5,115,449,67,10.5,12.0,5.0,37,Private room,apartment,regular,1,1,25,1,1,0,0,Yau Tsim Mong
